날짜,선도50지수,전월대비증감률,전년동월대비증감률
2015-05-01,41.0184535,0.5265216258609487,5.568854374045979
2015-06-01,41.46924395,1.0989942612048988,6.583220531151519
2015-07-01,41.70689026,0.5730664158877196,7.020107376966219
2015-08-01,42.11443029,0.97715276171252,7.295258626685554
2015-09-01,42.35826726,0.5789867471100486,6.829201941527663
2015-10-01,42.57116254,0.502606205993328,6.46091647344909
2015-11-01,42.97385286,0.9459227701889299,7.2408009172207795
2015-12-01,43.03557645,0.1436305704333349,7.51658963690672
2016-01-01,42.99597172,-0.0920278831306325,7.182625939577325
2016-02-01,42.95157683,-0.1032536031261489,6.610652487804625
2016-03-01,42.96795928,0.0381416730399465,5.954215576688132
2016-04-01,43.16993323,0.470057115544725,5.799289249960831
2016-05-01,43.67385253,1.1672922849225358,6.473669296186411
2016-06-01,44.30340265,1.4414806194794834,6.834363084644566
2016-07-01,45.00644116,1.586872492738433,7.911284872668903
2016-08-01,45.82149652,1.8109749160179986,8.802365850548467
2016-09-01,46.66458618,1.8399435287584098,10.166418974523463
2016-10-01,47.76249756,2.352772133808302,12.194487324893242
2016-11-01,48.35637778,1.2434027748527143,12.525115999105694
2016-12-01,48.19997321,-0.3234414511185498,12.00029646634372
2017-01-01,48.06450708,-0.2810502184509409,11.78839588277597
2017-02-01,48.20004859,0.2819991678566487,12.219508915291202
2017-03-01,48.37031118,0.3532415318670947,12.572977610585745
2017-04-01,48.60136892,0.4776850393626101,12.581524416687174
2017-05-01,49.18401327,1.1988229199038782,12.616612505652018
2017-06-01,50.46740796,2.609373665696394,13.913164545613068
2017-07-01,51.08530719,1.2243530131163882,13.506657876790008
2017-08-01,52.80469868,3.365726046444471,15.240013291473353
2017-09-01,52.63473452,-0.3218731746392384,12.793745383214711
2017-10-01,53.30350755,1.2705925775038942,11.601173039662124
2017-11-01,54.41113931,2.0779716212127584,12.521122978951134
2017-12-01,55.86664567,2.675015407612497,15.905968301263295
2018-01-01,58.23153963,4.233105337967215,21.15289049584486
2018-02-01,60.55158681,3.984176263827905,25.625572133889005
2018-03-01,62.62204363,3.419327104501359,29.463801456569417
2018-04-01,63.06164173,0.7019861929089202,29.752809707484264
2018-05-01,63.18026734,0.1881105641174052,28.4569174808211
2018-06-01,63.18020636,-9.65174770025e-05,25.190115589205703
2018-07-01,63.08260011,-0.1544886533669119,23.484820939568475
2018-08-01,64.19941458,1.7704001865055654,21.578981008968046
2018-09-01,67.68261935,5.425602075638117,28.589267082333524
2018-10-01,68.72489689,1.5399485865199454,28.931284354100633
2018-11-01,68.84690237,0.1775273380115507,26.53089650954416
2018-12-01,68.35615792,-0.712805417682585,22.355937250599567
2019-01-01,67.65275091,-1.0290323965007306,16.17888062012761
2019-02-01,66.6345012,-1.5051120557604536,10.045838119960576
2019-03-01,65.86587099,-1.153501858883878,5.180008782795452
2019-04-01,65.54831067,-0.4821318161088512,3.9432353357477363
2019-05-01,65.76582571,0.331839276674985,4.092351107167696
2019-06-01,66.29397719,0.8030789156802027,4.928396105985748
2019-07-01,68.78302406,3.7545595776616882,9.036444185971902
2019-08-01,69.84340894,1.5416374817644214,8.791348639117139
2019-09-01,70.64706795,1.150658340131128,4.379925937366962
2019-10-01,72.39344574,2.4719749038077383,5.338020158650543
2019-11-01,73.58588241,1.6471610900835123,6.883359856238076
2019-12-01,76.42684533,3.8607445164154552,11.806818369524885
2020-01-01,77.06009525,0.82857001000855,13.905338975077015
2020-02-01,77.31840085,0.3352002085670923,16.033585391346787
2020-03-01,77.21747286,-0.130535537324166,17.234421559115862
2020-04-01,76.51321663,-0.9120425778202553,16.727976431310825
2020-05-01,76.02584829,-0.6369727498933933,15.600842031912505
2020-06-01,76.45114057,0.5594048465960234,15.321396921004371
2020-07-01,78.9054795,3.2103365779778845,14.71650247766091
2020-08-01,80.70107268,2.275625458939135,15.545724220487912
2020-09-01,82.71067081,2.4901752396384627,17.07587195060655
2020-10-01,83.43172618,0.8717803433808228,15.247624045474812
2020-11-01,84.38072921,1.1374606201393591,14.66972528759542
2020-12-01,85.36072793,1.1614011032792306,11.689456187056779
2021-01-01,86.67313034,1.5374779969967391,12.47472515938786
2021-02-01,88.24755036,1.8165030082839857,14.135250328318191
2021-03-01,89.56631381,1.4943909996596987,15.99228839357279
2021-04-01,90.10592308,0.6024689942523381,17.76517450015354
2021-05-01,90.82131545,0.7939459977174232,19.461101050214932
2021-06-01,91.83431098,1.1153720081908371,20.12157084290312
2021-07-01,92.85176535,1.1079239982772722,17.674673468019417
2021-08-01,94.53498865,1.812806997966248,17.142171114447198
2021-09-01,96.33073275,1.8995549961384588,16.467115798501403
2021-10-01,97.69999513,1.4214180053561358,17.10173048465626
2021-11-01,98.8571656,1.1844120037675174,17.156093014996593
2021-12-01,99.5993328,0.7507469949148532,16.680510130696586
2022-01-01,100.0,0.4022790000055101,15.37601054412315
2022-02-01,100.094499,0.094499,13.42467704958513
2022-03-01,100.35279886,0.2580559996608805,12.043015494510279
2022-04-01,100.74073769,0.3865749978146648,11.802569960420852
2022-05-01,101.35773441,0.6124599979589449,11.60126222329452
2022-06-01,101.41814261,0.0595990038171572,10.436003197200664
2022-07-01,101.17802704,-0.2367580038646105,8.96726266712817
2022-08-01,100.4511985,-0.718365994340504,6.258222415304643
2022-09-01,99.32215817,-1.1239689987372325,3.105369734665493
2022-10-01,97.58459845,-1.7494180070332235,-0.118113291455596
2022-11-01,94.51706954,-3.143455994822511,-4.390269570909082
2022-12-01,92.07499799,-2.583735998042666,-7.554603628830734
